connecting
connected with result code0
sensorData {"accelX":-0.416748046875,"accelY":0.093505859375,"accelZ":-1.147705078125,"gyroX":23.82843017578125,"gyroY":-200.02029418945312,"gyroZ":2.404632568359375}
sensorData {"accelX":-0.60986328125,"accelY":0.10009765625,"accelZ":-0.75830078125,"gyroX":24.489898681640625,"gyroY":-229.38949584960938,"gyroZ":2.5213623046875}
sensorData {"accelX":-0.70751953125,"accelY":0.109130859375,"accelZ":-0.432373046875,"gyroX":23.57940673828125,"gyroY":-220.48690795898438,"gyroZ":3.649749755859375}
sensorData {"accelX":-0.666015625,"accelY":0.127685546875,"accelZ":-0.01611328125,"gyroX":22.100830078125,"gyroY":-201.70120239257812,"gyroZ":4.365692138671875}
sensorData {"accelX":-0.585693359375,"accelY":0.101806640625,"accelZ":0.416748046875,"gyroX":15.260467529296875,"gyroY":-122.20046997070312,"gyroZ":5.5096435546875}
sensorData {"accelX":-0.5283203125,"accelY":0.0224609375,"accelZ":1.05078125,"gyroX":6.785888671875,"gyroY":-11.680755615234375,"gyroZ":4.8870849609375}
sensorData {"accelX":-0.53173828125,"accelY":0.08447265625,"accelZ":0.509521484375,"gyroX":-4.295654296875,"gyroY":133.82675170898438,"gyroZ":5.066070556640625}
sensorData {"accelX":-0.75634765625,"accelY":0.099609375,"accelZ":0.0888671875,"gyroX":-11.75079345703125,"gyroY":174.378662109375,"gyroZ":4.241180419921875}
sensorData {"accelX":-0.907958984375,"accelY":0.090087890625,"accelZ":-0.27685546875,"gyroX":-11.06597900390625,"gyroY":145.49972534179688,"gyroZ":2.44354248046875}
sensorData {"accelX":-0.6884765625,"accelY":0.09228515625,"accelZ":-0.645263671875,"gyroX":-7.120513916015625,"gyroY":133.82675170898438,"gyroZ":0.2801513671875}
sensorData {"accelX":-0.656982421875,"accelY":0.0693359375,"accelZ":-0.795654296875,"gyroX":-11.136016845703125,"gyroY":172.28530883789062,"gyroZ":0.01556396484375}
sensorData {"accelX":-0.536865234375,"accelY":0.092041015625,"accelZ":-1.048095703125,"gyroX":-8.51348876953125,"gyroY":160.55007934570312,"gyroZ":-0.9649658203125}
sensorData {"accelX":-0.375,"accelY":0.08642578125,"accelZ":-1.0283203125,"gyroX":-7.805328369140625,"gyroY":150.54244995117188,"gyroZ":-0.614776611328125}
sensorData {"accelX":-0.240478515625,"accelY":0.07080078125,"accelZ":-1.137451171875,"gyroX":-8.26446533203125,"gyroY":120.19271850585938,"gyroZ":-0.38909912109375}
sensorData {"accelX":-0.068359375,"accelY":0.03125,"accelZ":-1.091796875,"gyroX":-7.525177001953125,"gyroY":76.18560791015625,"gyroZ":-0.7470703125}
sensorData {"accelX":0.094970703125,"accelY":0.027587890625,"accelZ":-1.138916015625,"gyroX":-6.093292236328125,"gyroY":55.073089599609375,"gyroZ":-0.0311279296875}
sensorData {"accelX":-0.00732421875,"accelY":0.017822265625,"accelZ":-1.189208984375,"gyroX":-1.984405517578125,"gyroY":15.51727294921875,"gyroZ":2.155609130859375}
sensorData {"accelX":-0.073486328125,"accelY":0.077392578125,"accelZ":-1.267578125,"gyroX":6.14776611328125,"gyroY":-49.345550537109375,"gyroZ":3.2684326171875}
sensorData {"accelX":-0.12939453125,"accelY":0.043212890625,"accelZ":-1.403076171875,"gyroX":15.135955810546875,"gyroY":-122.1771240234375,"gyroZ":3.25286865234375}
sensorData {"accelX":-0.21630859375,"accelY":0.064208984375,"accelZ":-1.390380859375,"gyroX":24.474334716796875,"gyroY":-183.1878662109375,"gyroZ":3.40850830078125}
sensorData {"accelX":-0.52587890625,"accelY":0.085205078125,"accelZ":-1.14404296875,"gyroX":30.341949462890625,"gyroY":-250.01174926757812,"gyroZ":2.451324462890625}
sensorData {"accelX":-0.549072265625,"accelY":0.110595703125,"accelZ":-0.767333984375,"gyroX":31.70379638671875,"gyroY":-255,"gyroZ":2.171173095703125}
sensorData {"accelX":-0.59716796875,"accelY":0.0966796875,"accelZ":-0.211669921875,"gyroX":28.6376953125,"gyroY":-243.109130859375,"gyroZ":2.13226318359375}
sensorData {"accelX":-0.486572265625,"accelY":0.07177734375,"accelZ":0.168212890625,"gyroX":22.474365234375,"gyroY":-166.30096435546875,"gyroZ":3.0194091796875}
sensorData {"accelX":-0.4306640625,"accelY":0.05126953125,"accelZ":0.776123046875,"gyroX":13.8519287109375,"gyroY":-75.18173217773438,"gyroZ":3.649749755859375}
sensorData {"accelX":-0.448974609375,"accelY":0.11083984375,"accelZ":0.6826171875,"gyroX":2.19451904296875,"gyroY":71.72653198242188,"gyroZ":4.241180419921875}
sensorData {"accelX":-0.737548828125,"accelY":0.11669921875,"accelZ":0.357177734375,"gyroX":-8.26446533203125,"gyroY":156.56570434570312,"gyroZ":4.37347412109375}
sensorData {"accelX":-0.734375,"accelY":0.092041015625,"accelZ":-0.0576171875,"gyroX":-16.754608154296875,"gyroY":211.93450927734375,"gyroZ":3.852081298828125}
